Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
20201208,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,0,"",0,"",16 years and over
20201208,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,0,"",0,"",16 years and over
20201208,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,1907,"",1907,"",16 years and over
20201208,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,0,"",0,"",16 years and over
20201208,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,0,"",0,"",16 years and over
20201208,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,0,"",0,"",16 years and over
20201208,S92000003,Total,4549217,Dose 1,1907,"",1907,"",16 years and over
20201208,S92000003,Total,4439078,Dose 1,1906,0.0429368440923994,1906,0.0429368440923994,18 years and over
20201208,S92000003,Total,2875396,Dose 1,1326,0.0461153872370971,1326,0.0461153872370971,40 years and over
20201208,S92000003,Total,4549217,Dose 2,0,"",0,"",16 years and over
20201208,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
20201208,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
20201209,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,0,"",0,"",16 years and over
20201209,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,0,"",0,"",16 years and over
20201209,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,3841,"",5748,"",16 years and over
20201209,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,0,"",0,"",16 years and over
20201209,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,0,"",0,"",16 years and over
20201209,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,0,"",0,"",16 years and over
20201209,S92000003,Total,4549217,Dose 1,3841,"",5748,"",16 years and over
20201209,S92000003,Total,4439078,Dose 1,3841,0.0865269769983767,5747,0.129463821090776,18 years and over
20201209,S92000003,Total,2875396,Dose 1,2558,0.0889616595418509,3884,0.135077046778948,40 years and over
20201209,S92000003,Total,4549217,Dose 2,0,"",0,"",16 years and over
20201209,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
20201209,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
20201210,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,0,"",0,"",16 years and over
20201210,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,0,"",0,"",16 years and over
20201210,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,4941,"",10689,"",16 years and over
20201210,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,0,"",0,"",16 years and over
20201210,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,0,"",0,"",16 years and over
20201210,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,0,"",0,"",16 years and over
20201210,S92000003,Total,4549217,Dose 1,4941,"",10689,"",16 years and over
20201210,S92000003,Total,4439078,Dose 1,4940,0.111284370312934,10687,0.24074819140371,18 years and over
20201210,S92000003,Total,2875396,Dose 1,3259,0.113340910260708,7143,0.248417957039656,40 years and over
20201210,S92000003,Total,4549217,Dose 2,0,"",0,"",16 years and over
